"","Kinetics_key","Study key","Genus","Sub-genus","Virus","Strain","Temperature range (°C)","Temperature","Relative humidity range (RH, in %)","Relative humidity","pH","Studied matrix - fully names","Standardised matrices","Medium","Inoculum","Quantification method","Replicate","Re-transcribed tables or digitalised figures","Table or Figure of the study","References","DOI","log10D_AEM","nb_points","Dvalues","Dvalues_stderr","Dvalues_CV","log10D","s1","s2","s3","S"
"11","K011","Laude1981","Alphacoronavirus","Tegacovirus","TGEV","D52","39",39,"100","100","7","HEPES solution","Liquid culture medium","Liquid medium","5ml (> 104 PFU per ml)","Cellular infectivity by plaque forming units (PFU) on the pig kidney cell line RPtg cells ","Unique","Fig_Laude1981_1.jpg","Figure 1a","Laude, H. Thermal inactivation studies of a Coronavirus, transmissible gastroenteritis virus. J. gen. Virol.56, 235-240, doi:10.1099/0022-1317-56-2-235 (1981)","10.1099/0022-1317-56-2-235","1.39532723434091",5,25.1851999438795,0.872566619545557,0.0346460072379774,1.40114540304677,2,1,4,6
"12","K012","Laude1981","Alphacoronavirus","Tegacovirus","TGEV","D52","43",43,"100","100","7","HEPES solution","Liquid culture medium","Liquid medium","5ml (> 104 PFU per ml)","Cellular infectivity by plaque forming units (PFU) on the pig kidney cell line RPtg cells ","Unique","Fig_Laude1981_1.jpg","Figure 1a","Laude, H. Thermal inactivation studies of a Coronavirus, transmissible gastroenteritis virus. J. gen. Virol.56, 235-240, doi:10.1099/0022-1317-56-2-235 (1981)","10.1099/0022-1317-56-2-235","1.10825584627902",6,12.9468007890971,0.486024858312225,0.0375401511330521,1.11216246561489,3,1,4,7
"13","K013","Laude1981","Alphacoronavirus","Tegacovirus","TGEV","D52","47",47,"100","100","7","HEPES solution","Liquid culture medium","Liquid medium","5ml (> 104 PFU per ml)","Cellular infectivity by plaque forming units (PFU) on the pig kidney cell line RPtg cells ","Unique","Fig_Laude1981_1.jpg","Figure 1a","Laude, H. Thermal inactivation studies of a Coronavirus, transmissible gastroenteritis virus. J. gen. Virol.56, 235-240, doi:10.1099/0022-1317-56-2-235 (1981)","10.1099/0022-1317-56-2-235","0.69900356711907097",6,5.05752607870575,0.206183795911257,0.04076771779376,0.703938130851404,3,1,4,7
"14","K014","Laude1981","Alphacoronavirus","Tegacovirus","TGEV","D52","51",51,"100","100","7","HEPES solution","Liquid culture medium","Liquid medium","5ml (> 104 PFU per ml)","Cellular infectivity by plaque forming units (PFU) on the pig kidney cell line RPtg cells ","Unique","Fig_Laude1981_1.jpg","Figure 1a","Laude, H. Thermal inactivation studies of a Coronavirus, transmissible gastroenteritis virus. J. gen. Virol.56, 235-240, doi:10.1099/0022-1317-56-2-235 (1981)","10.1099/0022-1317-56-2-235","1.45625560182668E-2",5,1.06499167018553,0.0220218519235925,0.0206779569644484,0.027346210961042,2,1,4,6
"15","K015","Laude1981","Alphacoronavirus","Tegacovirus","TGEV","D52","55",55,"100","100","7","HEPES solution","Liquid culture medium","Liquid medium","5ml (> 104 PFU per ml)","Cellular infectivity by plaque forming units (PFU) on the pig kidney cell line RPtg cells ","Unique","Fig_Laude1981_1.jpg","Figure 1a","Laude, H. Thermal inactivation studies of a Coronavirus, transmissible gastroenteritis virus. J. gen. Virol.56, 235-240, doi:10.1099/0022-1317-56-2-235 (1981)","10.1099/0022-1317-56-2-235","-0.45079568459019698",6,0.341675843648157,0.0472135074444297,0.138182163949079,-0.466385724570138,3,1,1,4
"16","K016","Laude1981","Alphacoronavirus","Tegacovirus","TGEV","D52","35",35,"100","100","8","HEPES solution","Liquid culture medium","Liquid medium","5ml (> 104 PFU per ml)","Cellular infectivity by plaque forming units (PFU) on the pig kidney cell line RPtg cells ","Unique","Fig_Laude1981_1.jpg","Figure 1b","Laude, H. Thermal inactivation studies of a Coronavirus, transmissible gastroenteritis virus. J. gen. Virol.56, 235-240, doi:10.1099/0022-1317-56-2-235 (1981)","10.1099/0022-1317-56-2-235","1.38944653656857",5,29.2315312956458,0.310792039999979,0.0106320820779674,1.4658515664977,2,1,4,6
"17","K017","Laude1981","Alphacoronavirus","Tegacovirus","TGEV","D52","39",39,"100","100","8","HEPES solution","Liquid culture medium","Liquid medium","5ml (> 104 PFU per ml)","Cellular infectivity by plaque forming units (PFU) on the pig kidney cell line RPtg cells ","Unique","Fig_Laude1981_1.jpg","Figure 1b","Laude, H. Thermal inactivation studies of a Coronavirus, transmissible gastroenteritis virus. J. gen. Virol.56, 235-240, doi:10.1099/0022-1317-56-2-235 (1981)","10.1099/0022-1317-56-2-235","1.04781401980625",4,13.4865622110984,0.585732390216222,0.0434308151364333,1.12990126004835,2,1,4,6
"18","K018","Laude1981","Alphacoronavirus","Tegacovirus","TGEV","D52","43",43,"100","100","8","HEPES solution","Liquid culture medium","Liquid medium","5ml (> 104 PFU per ml)","Cellular infectivity by plaque forming units (PFU) on the pig kidney cell line RPtg cells ","Unique","Fig_Laude1981_1.jpg","Figure 1b","Laude, H. Thermal inactivation studies of a Coronavirus, transmissible gastroenteritis virus. J. gen. Virol.56, 235-240, doi:10.1099/0022-1317-56-2-235 (1981)","10.1099/0022-1317-56-2-235","0.83301496437546896",4,8.3902145728607,0.393404128079747,0.0468884466140195,0.923773067696133,2,1,4,6
"19","K019","Laude1981","Alphacoronavirus","Tegacovirus","TGEV","D52","47",47,"100","100","8","HEPES solution","Liquid culture medium","Liquid medium","5ml (> 104 PFU per ml)","Cellular infectivity by plaque forming units (PFU) on the pig kidney cell line RPtg cells ","Unique","Fig_Laude1981_1.jpg","Figure 1b","Laude, H. Thermal inactivation studies of a Coronavirus, transmissible gastroenteritis virus. J. gen. Virol.56, 235-240, doi:10.1099/0022-1317-56-2-235 (1981)","10.1099/0022-1317-56-2-235","0.49134363654297702",4,3.65259159477845,0.21141237120887,0.0578801012166523,0.56260111539568,2,1,4,6
"20","K020","Laude1981","Alphacoronavirus","Tegacovirus","TGEV","D52","51",51,"100","100","8","HEPES solution","Liquid culture medium","Liquid medium","5ml (> 104 PFU per ml)","Cellular infectivity by plaque forming units (PFU) on the pig kidney cell line RPtg cells ","Unique","Fig_Laude1981_1.jpg","Figure 1b","Laude, H. Thermal inactivation studies of a Coronavirus, transmissible gastroenteritis virus. J. gen. Virol.56, 235-240, doi:10.1099/0022-1317-56-2-235 (1981)","10.1099/0022-1317-56-2-235","-0.19048434675544701",4,0.76065457789336,0.157949825320222,0.207649871453697,-0.118812516647886,2,1,1,3
"21","K021","Casanova2010","Alphacoronavirus","Tegacovirus","TGEV","NA","20",20,"20","20","NA","Stainless steel with RH of 20%  +/- 3%","Stainless steel","Non-porous surface","10 µl (105 MPN)","Cellular infectivity by cytopathic effect (CPE) in swine testicular cells ","Multiple","Fig_Casanova2010_2a.JPG","Figure 2a","Casanova, L. M., Jeon, S., Rutala, W. A., Weber, D. J. & Sobsey, M. D. Effects of air temperature and relative humidity on coronavirus survival on surfaces. Applied and environmental microbiology76, 2712-2717, doi:10.1128/AEM.02291-09 (2010)","10.1128/AEM.02291-09","2.4905394842400299",5,306.990884624614,89.2783887323003,0.290817718713275,2.48712548031105,2,3,1,7
"22","K022","Casanova2010","Alphacoronavirus","Tegacovirus","TGEV","NA","40",40,"20","20","NA","Stainless steel with RH of 20%  +/- 3%","Stainless steel","Non-porous surface","10 µl (105 MPN)","Cellular infectivity by cytopathic effect (CPE) in swine testicular cells ","Multiple","Fig_Casanova2010_3a.JPG","Figure 3a","Casanova, L. M., Jeon, S., Rutala, W. A., Weber, D. J. & Sobsey, M. D. Effects of air temperature and relative humidity on coronavirus survival on surfaces. Applied and environmental microbiology76, 2712-2717, doi:10.1128/AEM.02291-09 (2010)","10.1128/AEM.02291-09","1.44858797130455",5,28.1027263744356,6.84906613909638,0.24371536226915,1.44874845484943,2,3,1,7
"23","K023","Casanova2010","Alphacoronavirus","Tegacovirus","TGEV","NA","4",4,"50","50","NA","Stainless steel with RH of 20%  +/- 3%","Stainless steel","Non-porous surface","10 µl (104 to 105 MPN)","Cellular infectivity by cytopathic effect (CPE) in swine testicular cells ","Multiple","Fig_Casanova2010_1b.JPG","Figure 1b","Casanova, L. M., Jeon, S., Rutala, W. A., Weber, D. J. & Sobsey, M. D. Effects of air temperature and relative humidity on coronavirus survival on surfaces. Applied and environmental microbiology76, 2712-2717, doi:10.1128/AEM.02291-09 (2010)","10.1128/AEM.02291-09","2.6228682478834102",5,414.516224955485,406.933856027621,0.981707907986766,2.61754153433317,2,3,1,7
"24","K024","Casanova2010","Alphacoronavirus","Tegacovirus","TGEV","NA","20",20,"50","50","NA","Stainless steel with RH of 20%  +/- 3%","Stainless steel","Non-porous surface","10 µl (104 to 105 MPN)","Cellular infectivity by cytopathic effect (CPE) in swine testicular cells ","Multiple","Fig_Casanova2010_2b.JPG","Figure 2b","Casanova, L. M., Jeon, S., Rutala, W. A., Weber, D. J. & Sobsey, M. D. Effects of air temperature and relative humidity on coronavirus survival on surfaces. Applied and environmental microbiology76, 2712-2717, doi:10.1128/AEM.02291-09 (2010)","10.1128/AEM.02291-09","1.5732838016317101",4,27.252088496123,7.57829337226264,0.278081196358245,1.43539979056075,2,3,1,7
"25","K025","Casanova2010","Alphacoronavirus","Tegacovirus","TGEV","NA","40",40,"50","50","NA","Stainless steel with RH of 20%  +/- 3%","Stainless steel","Non-porous surface","10 µl (104 to 105 MPN)","Cellular infectivity by cytopathic effect (CPE) in swine testicular cells ","Multiple","Fig_Casanova2010_3b.JPG","Figure 3b","Casanova, L. M., Jeon, S., Rutala, W. A., Weber, D. J. & Sobsey, M. D. Effects of air temperature and relative humidity on coronavirus survival on surfaces. Applied and environmental microbiology76, 2712-2717, doi:10.1128/AEM.02291-09 (2010)","10.1128/AEM.02291-09","0.32993538264688599",3,2.57275935625436,0.289625066865271,0.11257371046429,0.410399166257615,1,3,1,4
"26","K026","Casanova2010","Alphacoronavirus","Tegacovirus","TGEV","NA","4",4,"80","80","NA","Stainless steel with RH of 20%  +/- 3%","Stainless steel","Non-porous surface","10 µl (104 MPN)","Cellular infectivity by cytopathic effect (CPE) in swine testicular cells ","Multiple","Fig_Casanova2010_1c.JPG","Figure 1c","Casanova, L. M., Jeon, S., Rutala, W. A., Weber, D. J. & Sobsey, M. D. Effects of air temperature and relative humidity on coronavirus survival on surfaces. Applied and environmental microbiology76, 2712-2717, doi:10.1128/AEM.02291-09 (2010)","10.1128/AEM.02291-09","2.36103074871576",4,229.854850241943,78.5983817197239,0.341947892928917,2.36145367237211,2,3,1,7
"27","K027","Casanova2010","Alphacoronavirus","Tegacovirus","TGEV","NA","20",20,"80","80","NA","Stainless steel with RH of 20%  +/- 3%","Stainless steel","Non-porous surface","10 µl (104 MPN)","Cellular infectivity by cytopathic effect (CPE) in swine testicular cells ","Multiple","Fig_Casanova2010_2c.JPG","Figure 2c","Casanova, L. M., Jeon, S., Rutala, W. A., Weber, D. J. & Sobsey, M. D. Effects of air temperature and relative humidity on coronavirus survival on surfaces. Applied and environmental microbiology76, 2712-2717, doi:10.1128/AEM.02291-09 (2010)","10.1128/AEM.02291-09","2.0292401401323401",13,109.120242185473,7.62713078695885,0.0698965712887161,2.03790532120259,4,3,4,16
"28","K028","Casanova2010","Alphacoronavirus","Tegacovirus","TGEV","NA","40",40,"80","80","NA","Stainless steel with RH of 20%  +/- 3%","Stainless steel","Non-porous surface","10 µl (104 MPN)","Cellular infectivity by cytopathic effect (CPE) in swine testicular cells ","Multiple","Fig_Casanova2010_3c.JPG","Figure 3c","Casanova, L. M., Jeon, S., Rutala, W. A., Weber, D. J. & Sobsey, M. D. Effects of air temperature and relative humidity on coronavirus survival on surfaces. Applied and environmental microbiology76, 2712-2717, doi:10.1128/AEM.02291-09 (2010)","10.1128/AEM.02291-09","0.53703498103983005",4,2.33101707009728,0.414102057305377,0.177648659298791,0.367545453881757,2,3,1,7
"29","K029","Casanova2010","Betacoronavirus","Embecovirus","MHV","NA","20",20,"20","20","NA","Stainless steel with RH of 20%  +/- 3%","Stainless steel","Non-porous surface","10 µl (105 MPN)","Cellular infectivity by cytopathic effect (CPE) in delayed brain tumor (DBT) cells ","Multiple","Fig_Casanova2010_2a.JPG","Figure 2a","Casanova, L. M., Jeon, S., Rutala, W. A., Weber, D. J. & Sobsey, M. D. Effects of air temperature and relative humidity on coronavirus survival on surfaces. Applied and environmental microbiology76, 2712-2717, doi:10.1128/AEM.02291-09 (2010)","10.1128/AEM.02291-09","2.62141443480184",4,424.823466480213,66.8490071338302,0.15735714339816,2.62820849837799,2,3,1,7
"30","K030","Casanova2010","Betacoronavirus","Embecovirus","MHV","NA","40",40,"20","20","NA","Stainless steel with RH of 20%  +/- 3%","Stainless steel","Non-porous surface","10 µl (105 MPN)","Cellular infectivity by cytopathic effect (CPE) in delayed brain tumor (DBT) cells ","Multiple","Fig_Casanova2010_3a.JPG","Figure 3a","Casanova, L. M., Jeon, S., Rutala, W. A., Weber, D. J. & Sobsey, M. D. Effects of air temperature and relative humidity on coronavirus survival on surfaces. Applied and environmental microbiology76, 2712-2717, doi:10.1128/AEM.02291-09 (2010)","10.1128/AEM.02291-09","1.4315157924549899",6,27.3020439713547,2.20029476759417,0.0805908440372711,1.43619516177524,3,3,4,13
"31","K031","Casanova2010","Betacoronavirus","Embecovirus","MHV","NA","4",4,"50","50","NA","Stainless steel with RH of 20%  +/- 3%","Stainless steel","Non-porous surface","10 µl (104 to 105 MPN)","Cellular infectivity by cytopathic effect (CPE) in delayed brain tumor (DBT) cells ","Multiple","Fig_Casanova2010_1b.JPG","Figure 1b","Casanova, L. M., Jeon, S., Rutala, W. A., Weber, D. J. & Sobsey, M. D. Effects of air temperature and relative humidity on coronavirus survival on surfaces. Applied and environmental microbiology76, 2712-2717, doi:10.1128/AEM.02291-09 (2010)","10.1128/AEM.02291-09","2.3356880263096902",5,216.91884159525,76.2986901508265,0.351738417878853,2.33629727652068,2,3,1,7
"32","K032","Casanova2010","Betacoronavirus","Embecovirus","MHV","NA","20",20,"50","50","NA","Stainless steel with RH of 20%  +/- 3%","Stainless steel","Non-porous surface","10 µl (104 to 105 MPN)","Cellular infectivity by cytopathic effect (CPE) in delayed brain tumor (DBT) cells ","Multiple","Fig_Casanova2010_2b.JPG","Figure 2b","Casanova, L. M., Jeon, S., Rutala, W. A., Weber, D. J. & Sobsey, M. D. Effects of air temperature and relative humidity on coronavirus survival on surfaces. Applied and environmental microbiology76, 2712-2717, doi:10.1128/AEM.02291-09 (2010)","10.1128/AEM.02291-09","1.6028589690292501",5,39.3758620650279,9.94815014743747,0.252645900958522,1.59523007501318,2,3,1,7
"33","K033","Casanova2010","Betacoronavirus","Embecovirus","MHV","NA","40",40,"50","50","NA","Stainless steel with RH of 20%  +/- 3%","Stainless steel","Non-porous surface","10 µl (104 to 105 MPN)","Cellular infectivity by cytopathic effect (CPE) in delayed brain tumor (DBT) cells ","Multiple","Fig_Casanova2010_3b.JPG","Figure 3b","Casanova, L. M., Jeon, S., Rutala, W. A., Weber, D. J. & Sobsey, M. D. Effects of air temperature and relative humidity on coronavirus survival on surfaces. Applied and environmental microbiology76, 2712-2717, doi:10.1128/AEM.02291-09 (2010)","10.1128/AEM.02291-09","0.78176557407633895",6,5.92801747020362,1.34724069048328,0.227266653186332,0.772909474863621,3,3,1,10
"34","K034","Casanova2010","Betacoronavirus","Embecovirus","MHV","NA","4",4,"80","80","NA","Stainless steel with RH of 20%  +/- 3%","Stainless steel","Non-porous surface","10 µl (104 MPN)","Cellular infectivity by cytopathic effect (CPE) in delayed brain tumor (DBT) cells ","Multiple","Fig_Casanova2010_1c.JPG","Figure 1c","Casanova, L. M., Jeon, S., Rutala, W. A., Weber, D. J. & Sobsey, M. D. Effects of air temperature and relative humidity on coronavirus survival on surfaces. Applied and environmental microbiology76, 2712-2717, doi:10.1128/AEM.02291-09 (2010)","10.1128/AEM.02291-09","2.4643263320008901",5,296.879834346213,98.1011129602194,0.3304404732516,2.47258069901202,2,3,1,7
"35","K035","Casanova2010","Betacoronavirus","Embecovirus","MHV","NA","20",20,"80","80","NA","Stainless steel with RH of 20%  +/- 3%","Stainless steel","Non-porous surface","10 µl (104 MPN)","Cellular infectivity by cytopathic effect (CPE) in delayed brain tumor (DBT) cells ","Multiple","Fig_Casanova2010_2c.JPG","Figure 2c","Casanova, L. M., Jeon, S., Rutala, W. A., Weber, D. J. & Sobsey, M. D. Effects of air temperature and relative humidity on coronavirus survival on surfaces. Applied and environmental microbiology76, 2712-2717, doi:10.1128/AEM.02291-09 (2010)","10.1128/AEM.02291-09","1.6902049795054199",11,47.8398782396556,2.26909713450118,0.0474310808889198,1.679790065631,4,3,4,16
"36","K036","Casanova2010","Betacoronavirus","Embecovirus","MHV","NA","40",40,"80","80","NA","Stainless steel with RH of 20%  +/- 3%","Stainless steel","Non-porous surface","10 µl (104 MPN)","Cellular infectivity by cytopathic effect (CPE) in delayed brain tumor (DBT) cells ","Multiple","Fig_Casanova2010_3c.JPG","Figure 3c","Casanova, L. M., Jeon, S., Rutala, W. A., Weber, D. J. & Sobsey, M. D. Effects of air temperature and relative humidity on coronavirus survival on surfaces. Applied and environmental microbiology76, 2712-2717, doi:10.1128/AEM.02291-09 (2010)","10.1128/AEM.02291-09","0.199367287599687",4,1.58543497127421,0.507231440037248,0.319932037092375,0.200148433562128,2,3,1,7
"37","K037","Chin2020","Betacoronavirus","Sarbecovirus","SARS-CoV-2","NA","4",4,"100","100","NA","Viral Transport Medium (VTM)","Liquid culture medium","Liquid medium","(106,8 TCID50 per ml)","Cellular infectivity by TCID50 in Vero E6 cells","Multiple","Table_Chin2020_A","Table A","Chin, A. W. H. et al. Stability of SARS-CoV-2 in different environmental conditions. The Lancet Microbe1, doi:10.1016/s2666-5247(20)30003-3 (2020)","10.1016/s2666-5247(20)30003-3","2.8080600099853301",10,690.167379383563,210.579837907968,0.305114156650016,2.83895442860295,4,3,1,13
"38","K038","Chin2020","Betacoronavirus","Sarbecovirus","SARS-CoV-2","NA","22",22,"100","100","NA","Viral Transport Medium (VTM)","Liquid culture medium","Liquid medium","(106,8 TCID50 per ml)","Cellular infectivity by TCID50 in Vero E6 cells","Multiple","Table_Chin2020_A","Table A","Chin, A. W. H. et al. Stability of SARS-CoV-2 in different environmental conditions. The Lancet Microbe1, doi:10.1016/s2666-5247(20)30003-3 (2020)","10.1016/s2666-5247(20)30003-3","1.74168929883268",12,55.7373520653046,2.36183787345607,0.0423744183377931,1.74614633268115,4,3,4,16
"39","K039","Chin2020","Betacoronavirus","Sarbecovirus","SARS-CoV-2","NA","37",37,"100","100","NA","Viral Transport Medium (VTM)","Liquid culture medium","Liquid medium","(106,8 TCID50 per ml)","Cellular infectivity by TCID50 in Vero E6 cells","Multiple","Table_Chin2020_A","Table A","Chin, A. W. H. et al. Stability of SARS-CoV-2 in different environmental conditions. The Lancet Microbe1, doi:10.1016/s2666-5247(20)30003-3 (2020)","10.1016/s2666-5247(20)30003-3","0.83844259203032401",6,6.6038887144815,1.04362322585484,0.158031619092294,0.819799746133182,3,3,1,10
"40","K040","Chin2020","Betacoronavirus","Sarbecovirus","SARS-CoV-2","NA","56",56,"100","100","NA","Viral Transport Medium (VTM)","Liquid culture medium","Liquid medium","(106,8 TCID50 per ml)","Cellular infectivity by TCID50 in Vero E6 cells","Multiple","Table_Chin2020_A","Table A","Chin, A. W. H. et al. Stability of SARS-CoV-2 in different environmental conditions. The Lancet Microbe1, doi:10.1016/s2666-5247(20)30003-3 (2020)","10.1016/s2666-5247(20)30003-3","-1.2755714000030101",3,0.0544983480917909,0.0177858269568677,0.32635534065934,-1.26361666149386,1,3,1,4
"41","K041","Chin2020","Betacoronavirus","Sarbecovirus","SARS-CoV-2","NA","22",22,"65","65","NA","Surface 1 cm2","Plastic","Non-porous surface","5µL (107,8 TCID50 per ml)","Cellular infectivity by TCID50 in Vero E6 cells","Multiple","Table_Chin2020_B","Table B","Chin, A. W. H. et al. Stability of SARS-CoV-2 in different environmental conditions. The Lancet Microbe1, doi:10.1016/s2666-5247(20)30003-3 (2020)","10.1016/s2666-5247(20)30003-3","1.6576603757448001",7,26.8626692006668,5.0450395459193,0.187808572120378,1.42914916401125,3,3,1,10
"42","K042","Chin2020","Betacoronavirus","Sarbecovirus","SARS-CoV-2","NA","22",22,"65","65","NA","Surface 1 cm2","Stainless steel","Non-porous surface","5µL (107,8 TCID50 per ml)","Cellular infectivity by TCID50 in Vero E6 cells","Multiple","Table_Chin2020_B","Table B","Chin, A. W. H. et al. Stability of SARS-CoV-2 in different environmental conditions. The Lancet Microbe1, doi:10.1016/s2666-5247(20)30003-3 (2020)","10.1016/s2666-5247(20)30003-3","1.42914916505261",7,45.4632393319111,5.35110687180682,0.117701838901981,1.65766037670029,3,3,1,10
